date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
09/01/2021,49,12,27,11,7,1
06/01/2021,41,21,32,47,11,9
04/01/2021,31,39,30,49,19,8
02/01/2021,5,27,7,24,41,10
30/12/2020,36,20,13,31,38,1
28/12/2020,41,34,42,22,1,5
26/12/2020,31,3,40,35,2,7
23/12/2020,5,3,39,31,38,9
21/12/2020,10,31,36,37,44,5
19/12/2020,30,29,49,23,10,5
16/12/2020,21,6,41,17,16,9
14/12/2020,47,48,13,34,2,6
12/12/2020,14,31,9,45,23,6
09/12/2020,47,17,48,39,24,7
07/12/2020,45,27,48,4,38,4
05/12/2020,34,20,14,35,9,1
02/12/2020,23,14,40,46,27,1
30/11/2020,28,9,26,29,18,3
28/11/2020,9,25,2,47,35,10
25/11/2020,1,26,14,31,10,4
23/11/2020,15,20,12,6,1,1
21/11/2020,49,17,44,5,46,4
18/11/2020,28,11,14,43,41,8
16/11/2020,7,47,16,33,42,7
14/11/2020,40,26,17,24,43,9
11/11/2020,15,17,10,37,16,9
09/11/2020,26,18,41,38,5,10
07/11/2020,45,5,48,42,30,9
04/11/2020,29,10,16,14,9,1
02/11/2020,42,43,38,33,31,3
31/10/2020,22,35,9,28,13,5
28/10/2020,25,43,30,2,19,9
26/10/2020,33,7,8,12,22,5
24/10/2020,8,25,4,12,45,2
21/10/2020,35,48,33,21,15,1
19/10/2020,7,35,48,28,25,1
17/10/2020,28,23,24,9,20,4
14/10/2020,19,42,32,26,39,6
12/10/2020,18,7,21,42,11,3
10/10/2020,48,26,31,47,42,8
07/10/2020,17,30,6,49,19,2
05/10/2020,6,22,19,5,9,5
03/10/2020,31,36,9,33,18,2
30/09/2020,26,24,49,32,2,5
28/09/2020,33,22,44,6,35,2
26/09/2020,4,31,49,8,39,9
23/09/2020,11,5,25,23,33,5
21/09/2020,46,41,38,19,16,9
19/09/2020,33,42,27,46,32,7
16/09/2020,28,19,49,23,17,7
14/09/2020,23,49,5,13,32,2
12/09/2020,16,46,12,21,24,2
09/09/2020,24,48,20,29,45,3
07/09/2020,37,35,31,44,14,7
05/09/2020,22,15,19,24,46,3
02/09/2020,14,23,21,47,3,3
